"FBG_1","FBG_2","FBG_3","FBG_4","FB1_31","FB1_33","FB1_16","IGerM","FB7_19","FB7_20","FB7_21","FB7_22","FB7_23","FB7_24","FB7_25","FB7_26","FB7_27","FB7_38","FB7_39","FB2_36","FB2_37","Kommentar"
"LA56",2011,"H2","145_1",4,1,9,21,1,0,0,0,1,0,0,0,0,,21.2,35.63,30.33,"Abschlag retuschiert"
"LA56",2011,"H2","145_10",5,1,9,21,1,0,0,0,1,0,0,0,0,,4.6,41.1,21.05,"Abschlag retuschiert"
"LA56",2011,"H2","145_11",5,1,9,21,1,0,0,0,0,1,0,0,0,,6.5,36.98,27.87,"Abschlag retuschiert"
"LA56",2011,"H2","145_2",5,1,9,21,1,0,0,0,1,0,0,0,0,,7.3,26.62,35.83,"Abschlag retuschiert"
"LA56",2011,"H2","145_3",6,1,9,21,1,0,0,0,1,0,0,0,0,,0.7,19.03,13.21,"Abschlag retuschiert"
"LA56",2011,"H2","145_4",4,1,9,21,1,0,0,0,0,1,0,0,0,,21.1,50.22,48.03,"Abschlag retuschiert"
"LA56",2011,"H2","145_5",4,1,9,21,1,0,0,0,1,0,0,0,0,,25.6,58.41,56.68,"Abschlag retuschiert"
"LA56",2011,"H2","145_6",4,1,9,21,1,0,0,0,1,0,0,0,0,,23.5,53.68,35.86,"Abschlag retuschiert"
"LA56",2011,"H2","145_7",3,1,9,21,1,0,0,1,0,0,0,0,0,,25.1,82.3,38.46,"Abschlag retuschiert"
"LA56",2011,"H2","145_8",4,1,9,21,1,0,0,0,1,0,0,0,0,,23.7,32.96,38.55,"Abschlag retuschiert"
"LA56",2011,"H2","145_9",4,1,9,21,1,0,0,1,0,0,0,0,0,,15,44.12,29.96,"Abschlag retuschiert"
"LA56",2011,407,41051,7,1,9,21,1,0,0,0,1,0,0,0,0,,1.4,18.54,16.62,"Abschlag retuschiert"
"LA56",2011,304,30437,3,1,"09da",21,1,0,0,0,1,0,0,0,0,,54.1,65.73,49.66,"Abschlag retuschiert"
"LA56",2011,"H2",2,2,1,9,21,1,0,0,1,0,0,0,0,0,,102,,,"Abschlag"
"LA56",2011,"H2",2,2,1,9,21,2,0,0,1,0,0,1,0,0,2,186,,,"Abschlag"
"LA56",2011,"H2",2,2,1,9,21,2,0,0,0,1,1,0,0,0,2,330,,,"Abschlag"
"LA56",2011,"H2",2,3,1,9,21,2,0,0,1,1,0,0,0,0,2,100,,,"Abschlag"
"LA56",2011,"H2",2,3,1,9,21,13,0,0,2,9,2,0,0,0,13,575,,,"Abschlag"
"LA56",2011,"H2",2,3,1,9,21,22,0,0,7,9,6,0,0,0,22,1189,,,"Abschlag"
"LA56",2011,"H2",2,3,1,9,21,33,0,0,15,11,3,4,0,0,33,1476,,,"Abschlag"
"LA56",2011,"H2",2,3,1,9,21,35,0,0,12,16,7,0,0,0,35,1753,,,"Abschlag"
"LA56",2011,"H2",2,4,1,9,21,20,0,0,10,9,1,0,0,0,20,338,,,"Abschlag"
"LA56",2011,"H2",2,4,1,9,21,293,0,0,204,69,20,0,0,0,293,4800,,,"Abschlag"
"LA56",2011,"H2",2,4,1,9,21,377,0,0,205,112,40,20,0,0,377,7176,,,"Abschlag"
"LA56",2011,"H2",2,4,1,"09DA",21,2,0,0,1,1,0,0,0,0,2,42,,,"Abschlag"
"LA56",2011,"H2",2,5,1,9,21,181,0,0,128,35,9,9,0,0,181,1259,,,"Abschlag"
"LA56",2011,"H2",2,5,1,9,21,399,0,0,262,108,29,0,0,0,399,1276,,,"Abschlag"
"LA56",2011,"H2",2,5,1,9,21,668,0,0,455,171,27,15,0,0,668,4822,,,"Abschlag"
"LA56",2011,"H2",2,5,1,"09DA",21,1,0,0,0,1,0,0,0,0,1,9,,,"Abschlag"
"LA56",2011,"H2",2,6,1,9,21,259,0,0,213,40,6,0,0,0,259,541,,,"Abschlag"
"LA56",2011,"H2",2,6,1,9,21,504,0,0,399,67,19,19,0,0,504,1041,,,"Abschlag"
"LA56",2011,"H2",2,6,1,9,21,789,0,0,562,182,28,17,0,0,789,1491,,,"Abschlag"
"LA56",2011,"H2",2,7,1,9,21,398,0,0,325,73,0,0,0,0,398,282,,,"Abschlag"
"LA56",2011,"H2",2,7,1,9,21,626,0,0,542,46,32,6,0,0,626,503,,,"Abschlag"
"LA56",2011,"H3/4",21,4,1,9,21,2,0,0,1,1,0,0,0,0,2,31,,,"Abschlag"
"LA56",2011,"H3/4",21,5,1,9,21,4,0,0,4,0,0,0,0,0,4,48,,,"Abschlag"
"LA56",2011,"H3/4",21,6,1,9,21,8,0,0,5,3,0,0,0,0,8,17,,,"Abschlag"
"LA56",2011,"H3/4",21,7,1,9,21,14,0,0,11,3,0,0,0,0,14,5,,,"Abschlag"
"LA56",2011,"H3",48,5,1,9,21,42,0,0,25,12,2,3,0,0,42,210,,,"Abschlag"
"LA56",2011,"H3",48,6,1,9,21,54,0,0,32,11,6,5,0,0,54,96,,,"Abschlag"
"LA56",2011,"H3",48,7,1,9,21,33,0,0,30,2,1,0,0,0,33,22,,,"Abschlag"
"LA56",2011,,10018,4,1,9,21,2,0,0,2,0,0,0,0,0,2,34,,,"Abschlag"
"LA56",2011,,10018,5,1,9,21,4,0,0,3,1,0,0,0,0,4,25,,,"Abschlag"
"LA56",2011,,10018,6,1,9,21,1,0,0,1,0,0,0,0,0,1,2,,,"Abschlag"
"LA56",2011,,10030,3,1,9,21,4,0,0,4,0,0,0,0,0,4,134,,,"Abschlag"
"LA56",2011,,10030,4,1,9,21,33,0,0,22,8,3,0,0,0,33,668,,,"Abschlag"
"LA56",2011,,10030,5,1,9,21,68,0,0,44,14,2,8,0,0,68,43,,,"Abschlag"
"LA56",2011,,10030,6,1,9,21,90,0,0,59,23,0,8,0,0,90,173,,,"Abschlag"
"LA56",2011,,10030,7,1,9,21,47,0,0,37,5,3,2,0,0,47,32,,,"Abschlag"
"LA56",2011,102,10040,3,1,9,21,3,0,0,2,1,0,0,0,0,3,111,,,"Abschlag"
"LA56",2011,102,10040,4,1,9,21,10,0,0,8,2,0,0,0,0,10,222,,,"Abschlag"
"LA56",2011,102,10040,5,1,9,21,34,0,0,24,5,4,1,0,0,34,206,,,"Abschlag"
"LA56",2011,102,10040,6,1,9,21,60,0,0,42,8,6,4,0,0,60,121,,,"Abschlag"
"LA56",2011,102,10040,7,1,9,21,45,0,0,34,7,2,2,0,0,45,32,,,"Abschlag"
"LA56",2011,101,10044,3,1,9,21,31,0,0,15,7,9,0,0,0,31,1624,,,"Abschlag"
"LA56",2011,101,10044,4,1,9,21,155,0,0,109,33,13,0,0,0,155,4400,,,"Abschlag"
"LA56",2011,101,10044,5,1,9,21,244,0,0,204,34,5,0,1,0,244,1552,,,"Abschlag"
"LA56",2011,101,10044,6,1,9,21,247,0,0,226,19,2,0,0,0,247,436,,,"Abschlag"
"LA56",2011,101,10044,7,1,9,21,169,0,0,138,18,5,8,0,0,169,128,,,"Abschlag"
"LA56",2011,103,10097,3,1,9,21,1,0,0,1,0,0,0,0,0,1,98,,,"Abschlag"
"LA56",2011,103,10097,4,1,9,21,5,0,0,4,1,0,0,0,0,5,136,,,"Abschlag"
"LA56",2011,103,10097,5,1,9,21,12,0,0,10,0,0,2,0,0,12,90,,,"Abschlag"
"LA56",2011,103,10097,6,1,9,21,34,0,0,30,3,1,0,0,0,34,64,,,"Abschlag"
"LA56",2011,,10100,3,1,9,21,1,0,0,0,1,0,0,0,0,1,108,,,"Abschlag"
"LA56",2011,"ohne Bef.",10100,4,1,9,21,3,0,0,1,0,2,0,0,0,3,47,,,"Abschlag"
"LA56",2011,,10100,4,1,9,21,4,0,0,2,1,1,0,0,0,4,71,,,"Abschlag"
"LA56",2011,"ohne Bef.",10100,5,1,9,21,9,0,0,5,3,1,0,0,0,9,40,,,"Abschlag"
"LA56",2011,,10100,5,1,9,21,10,0,0,6,4,0,0,0,0,10,75,,,"Abschlag"
"LA56",2011,,10100,6,1,9,21,9,0,0,4,3,2,0,0,0,9,27,,,"Abschlag"
"LA56",2011,"ohne Bef.",10100,6,1,9,21,13,0,0,9,3,1,0,0,0,13,27,,,"Abschlag"
"LA56",2011,"ohne Bef.",10100,7,1,9,21,9,0,0,8,0,1,0,0,0,9,5,,,"Abschlag"
"LA56",2011,"-",10100,7,1,9,21,10,0,0,8,1,1,0,0,0,10,13,,,"Abschlag"
"LA56",2011,102,10116,3,1,9,21,2,0,0,2,0,0,0,0,0,2,56,,,"Abschlag"
"LA56",2011,102,10116,4,1,9,21,6,0,0,3,3,0,0,0,0,6,95,,,"Abschlag"
"LA56",2011,102,10116,5,1,9,21,14,0,0,10,3,0,1,0,0,14,74,,,"Abschlag"
"LA56",2011,102,10116,6,1,9,21,28,0,0,16,12,0,0,0,0,28,58,,,"Abschlag"
"LA56",2011,102,10116,7,1,9,21,22,0,0,19,3,0,0,0,0,22,13,,,"Abschlag"
"LA56",2011,"Grasnarbe",10138,3,1,9,21,2,0,0,0,2,0,0,0,0,2,77,,,"Abschlag"
"LA56",2011,102,10140,4,1,9,21,3,0,0,2,1,0,0,0,0,3,51,,,"Abschlag"
"LA56",2011,102,10140,5,1,9,21,7,0,0,4,3,0,0,0,0,7,33,,,"Abschlag"
"LA56",2011,102,10140,6,1,9,21,6,0,0,4,2,0,0,0,0,6,15,,,"Abschlag"
"LA56",2011,102,10140,7,1,9,21,2,0,0,2,0,0,0,0,0,2,2,,,"Abschlag"
"LA56",2011,103,10160,3,1,9,21,1,0,0,0,0,1,0,0,0,1,41,,,"Abschlag"
