Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;0512;022;002;01;03;;09;2;0;4;0;2;0;0;1;18;18;2;0,7;0;1;1;3;10;3;1;1;2;1;0;99;0;0;1;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0524;032;001;01;06;05;03;2;2;0;0;0;0;0;1;33;20;6;3,4;0;1;1;1;25;6;1;1;2;0;99;98;0;0;1;4;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0530;025;001;01;06;;10;3;0;3;5;1;0;0;3;22;16;5;2,1;0;1;2;2;13;5;1;1;2;1;99;0;0;0;0;3;1;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0587;031;001;01;06;05;04;2;3;0;0;0;0;0;6;30;28;9;8,9;0;1;4;6;999;999;0;0;0;0;99;2;0;0;0;0;0;38;31;11;  ;  ;  ;2; ; ;21
AE;0600;014;001;01;05;06;01;3;0;0;0;0;0;0;3;21;12;5;1,2;0;1;6;7;5;4;5;3;2;0;99;99;0;0;0;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0676;015;001;01;06;05;11;2;0;0;0;0;0;0;1;12;9;1;0,2;0;1;9;3;5;1;1;6;2;0;98;98;0;0;1;3;0;31;  ;  ;  ;  ;  ;0; ; ;21
AE;0708;013;001;01;05;06;02;2;2;0;0;0;0;0;6;18;13;3;0,8;3;2;8;7;999;999;0;0;0;0;98;98;0;0;0;0;0;01;  ;  ;  ;  ;  ; ; ; ;01
AE;0708;014;001;01;03;06;10;2;0;4;0;2;0;0;6;26;15;4;1,3;3;1;8;7;999;999;0;0;0;2;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0708;015;001;01;06;05;03;1;2;0;0;0;0;0;6;22;17;3;0,9;2;1;8;7;999;999;0;0;0;0;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0708;020;001;01;10;;10;1;2;0;0;0;0;0;6;33;16;3;1,4;3;2;7;4;999;999;0;0;0;0;0;2;0;0;1;0;0;01;  ;  ;  ;  ;  ; ; ; ;01
AE;0708;026;001;01;05;06;02;2;7;0;0;0;0;0;6;32;18;4;1,8;3;1;8;7;999;999;0;0;0;0;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0708;027;001;01;06;05;10;1;0;0;5;2;0;0;6;22;16;3;0,8;2;1;8;7;999;999;0;0;0;4;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0708;028;001;01;06;05;10;2;6;0;1;2;0;0;6;22;17;3;1,2;4;1;8;7;999;999;0;0;0;1;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0708;035;001;01;05;06;02;2;5;0;1;2;0;0;6;17;15;3;0,7;1;1;8;7;999;999;0;0;0;2;0;0;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0716;011;001;01;05;;  ; ; ; ; ; ; ; ; ;999;999;999;999; ;1;9; ;NA;NA; ; ; ; ;NA;NA; ; ; ; ; ;01;  ;  ;  ;  ;  ; ; ; ;01
AE;0716;034;001;01;06;05;03;1;0;0;0;0;0;0;6;31;18;4;1,6;2;2;8;5;999;999;0;0;0;0;0;2;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;0821;020;001;01;05;06;02;2;0;0;0;0;0;0;3;22;19;4;1,9;0;2;4;2;999;999;0;0;0;0;0;99;0;0;0;0;4;31;  ;  ;  ;  ;  ;0; ; ;22
AE;0924;009;001;01;06;05;15;2;2;0;1;2;0;0;9;39;28;11;11,7;0;4;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;31;  ;  ;  ;  ;  ;0; ; ;24
AE;1041;007;001;01;06;;16;4;8;2;2;1;1;6;1;21;14;11;2,4;0;5;9;7;999;999;0;0;0;4;98;98;0;0;0;0;0;  ;  ;  ;  ;  ;  ;0; ; ;25
AE;1041;020;001;01;06;05;03;2;3;0;0;0;0;0;6;26;22;5;2,7;0;1;6;4;15;4;1;1;1;0;99;1;0;0;0;3;1;31;  ;  ;  ;  ;  ; ; ; ;21
AE;1084;006;001;01;06;05;10;2;5;0;0;0;0;0;2;20;18;5;1,5;0;2;2;3;7;4;1;4;2;0;0;99;0;0;0;3;4;  ;  ;  ;  ;  ;  ;0; ; ;22
AE;1096;006;001;01;05;;02;2;2;4;2;2;0;0;1;53;31;13;24,5;0;1;1;6;8;6;1;3;1;2;99;98;0;0;2;4;8;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1146;013;001;01;11;;16;4;8;0;0;0;2;2;6;28;20;5;3,5;0;2;2;4;9;4;3;4;2;0;2;1;0;0;0;9;0;  ;  ;  ;  ;  ;  ; ; ; ;22
AE;1146;021;001;01;06;05;03;2;5;0;0;0;0;0;6;46;39;11;17,2;3;1;8;7;999;999;0;0;0;0;99;2;6;5;0;0;8;05;31;  ;  ;  ;  ; ; ; ;07
AE;1180;015;001;01;06;05;03;2;3;0;1;2;0;0;1;53;40;9;14,5;0;1;1;1;9;5;1;1;2;2;99;99;0;0;1;1;0;31;  ;  ;  ;  ;  ;0; ; ;21
AE;1180;038;001;01;05;;02;2;3;4;2;2;0;0;1;67;26;18;23,1;0;1;1;4;20;13;1;1;1;1;99;0;1;3;0;3;7;31;  ;  ;  ;  ;  ; ; ; ;21
AE;1180;038;002;01;05;06;02;2;2;0;0;0;0;0;2;38;19;5;4;0;2;4;7;999;999;0;0;0;0;0;3;0;0;0;0;1;31;  ;  ;  ;  ;  ;0; ; ;22
AE;1185;013;001;01;05;06;01;2;7;0;1;2;0;0;1;34;17;11;6,1;0;1;1;4;4;3;1;5;2;1;99;1;6;2;2;9;0;31;  ;  ;  ;  ;  ; ; ; ;21
